cluster,genre,danceability,energy,valence,loudness,track_name,artist_name,popularity
0,Country,0.327,0.835,0.385,-4.952,My Time's Comin',A Thousand Horses,45
2,Soundtrack,0.253,0.0798,0.0487,-18.512,House Tour,Mark Mothersbaugh,25
3,Reggae,0.821,0.737,0.787,-6.295,We Can't Fall (Remix) [feat. J. Patz],Unified Highway,19
4,Electronic,0.745,0.772,0.17,-3.949,Endz - Original Mix,Stooki Sound,29
4,Comedy,0.502,0.804,0.185,-9.935,I Love My Job (Live),Bill Hicks,17
1,Children's Music,0.787,0.224,0.657,-9.607,How Much Is That Doggy In The Window?,Sugar Kane Music,16
0,Pop,0.62,0.497,0.55,-9.585,Morning Light,Justin Timberlake,63
3,Hip-Hop,0.929,0.61,0.868,-6.064,Chunk Up the Deuce (feat. U.G.K. & Paul Wall),Lil Keke,51
0,Country,0.57,0.715,0.831,-3.399,Get Up,Cole Swindell,41
4,Soul,0.709,0.669,0.106,-8.422,Something About You - ODESZA Remix,Hayden James,65
1,Comedy,0.648,0.414,0.524,-20.418,Wash Yo' Ass,Martin Lawrence,18
3,Ska,0.529,0.643,0.664,-7.51,Where Have You Been - Live,Reel Big Fish,19
1,Anime,0.543,0.339,0.367,-8.523,teddy bear,Ayumi Hamasaki,27
3,R&B,0.807,0.594,0.83,-7.945,Tied Up,LEISURE,20
3,Ska,0.631,0.66,0.614,-7.478,East Bay Night - Acoustic,Rancid,27
1,Soul,0.429,0.273,0.112,-9.719,Veins,Palace,47
2,Opera,0.249,0.257,0.115,-15.19,Handel: Rodelinda: Ritorna o caro,Dame Joan Sutherland,10
3,Reggae,0.939,0.642,0.967,-8.189,Pimper's Paradise,Bob Marley & The Wailers,65
1,Dance,0.674,0.531,0.17,-6.941,Basic,Sigrid,0
4,Rock,0.498,0.844,0.469,-5.163,Parking Lot,HUNNY,51
3,Ska,0.873,0.391,0.982,-15.117,Sufferin' In The Land,Jimmy Cliff,21
3,Reggae,0.81,0.44,0.706,-7.745,Earth Alert,Richie Spice,0
2,Soundtrack,0.236,0.117,0.071,-23.925,I Know What I Have To Do,Jeff Beal,35
2,Soundtrack,0.34,0.134,0.198,-16.512,A Steep But Beautiful Climb,Randy Edelman,31
3,Folk,0.719,0.739,0.603,-5.577,Wonder,Natalie Merchant,53
4,Anime,0.523,0.96,0.675,-3.532,Tactics - Remastered,THE YELLOW MONKEY,29
0,Ska,0.307,0.978,0.81,-6.321,Terror,8 Kalacas,19
4,Rock,0.295,0.883,0.118,-3.897,Knife Prty,Deftones,55
